FileName,GPSLatitude,GPSLongitude
Image_01.jpg,36.16015691,-86.790802
Image_02.jpg,36.15912398,-86.79286105
Image_03.jpg,39.74715669,-84.11091074
Image_04.jpg,40.26298056,-84.19241389
Image_05.jpg,40.26691111,-84.18909167
Image_06.jpg,39.7297,-83.99775833
Image_07.jpg,38.25297134,-85.65762752
Image_08.jpg,41.21436518,-89.90259142
Image_09.jpg,42.08138295,-70.97208177
Image_10.jpg,42.18020313,-121.805887
Image_11.jpg,42.19096944,-71.74245
Image_12.jpg,46.09512846,-97.63231968
Image_13.jpg,46.07379015,-97.89676922
Image_14.jpg,42.06461165,-88.14298866
Image_15.jpg,38.75099071,-87.70611825
Image_16.jpg,38.53421318,-92.00989805
Image_17.jpg,37.79636698,-90.40815234
Image_18.jpg,39.40101429,-87.53196408
Image_19.jpg,43.02285009,-75.69953593
Image_20.jpg,37.5861342,-85.29287895
Image_21.jpg,42.26388146,-73.88998836
Image_22.jpg,38.7305484,-85.2957234
Image_23.jpg,36.60461589,-83.73128162
Image_24.jpg,27.48686701,-82.63302262
Image_25.jpg,42.71120603,-84.66224738
Image_26.jpg,43.1320341,-75.1896135
Image_27.jpg,42.69790556,-72.94263333
Image_28.jpg,26.47697723,-81.44125672
Image_29.jpg,38.83988781,-115.2011778
Image_30.jpg,37.18139455,-115.0157416
Image_31.jpg,31.64110833,-81.87032222
Image_32.jpg,42.76103889,-70.99475
Image_33.jpg,31.45296,-83.607317
Image_34.jpg,42.75789573,-84.55315543
Image_35.jpg,41.84679481,-74.0803428
Image_36.jpg,30.74804394,-86.51531836
Image_37.jpg,43.29735556,-76.25322778
Image_38.jpg,42.73185,-72.87831111
Image_39.jpg,44.92233905,-74.3436098
Image_40.jpg,42.8593957,-74.4350723
